access_url,access_url_kind,availability,bioproject,data_level,dataset_id,eligibility,experiment_accession,file_id,format,local_biological_payload,name,note,repository_file_path,run_accession,schema_inspection,size_bytes,source_hashes,source_path,source_paths,source_url,sra_uid,study_accession,title,url,verification
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17156/suppl/GSE17156_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE17156,included_human_influenza_challenge,,FLUFILE_7320c65a089a5162d8,tar,False,GSE17156_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE17156.soft.txt"":""49d4b42999e54dc4f1390cb6310b697a6f7fa238d540b240be747d549b401593""}",,"[""data_dictionary/sources/influenza/snapshots/GSE17156.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17156/suppl/GSE17156_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30550/suppl/GSE30550_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE30550,included_human_influenza_challenge,,FLUFILE_3823e8316e492fba5d,tar,False,GSE30550_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE30550.soft.txt"":""64a2fc66d165aec5ff95b8bf2b8d5b9de6a7062ef3ddbd2906bde344713c75b3""}",,"[""data_dictionary/sources/influenza/snapshots/GSE30550.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30550/suppl/GSE30550_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52428/suppl/GSE52428_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE52428,included_human_influenza_challenge,,FLUFILE_554e95fb8382f9e84e,tar,False,GSE52428_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE52428.soft.txt"":""21ab50213d9f429fd48b2629e26af77600a265f26b5fa574b3704f3fe04cc4af""}",,"[""data_dictionary/sources/influenza/snapshots/GSE52428.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52428/suppl/GSE52428_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61754/suppl/GSE61754_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE61754,included_human_influenza_challenge,,FLUFILE_18ff9d95ce138cde92,tar,False,GSE61754_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE61754.soft.txt"":""fd4a7fb55baa713d620b48424f5167c4ba6f64069a83207ce9db1a5d9abb39f1""}",,"[""data_dictionary/sources/influenza/snapshots/GSE61754.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61754/suppl/GSE61754_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61754/suppl/GSE61754_non-normalized.txt.gz,direct_file_link,public,,unnormalized_feature_intensity_table,FLU:GSE61754,included_human_influenza_challenge,,FLUFILE_e650c82d82c5d6d80b,txt.gz,False,GSE61754_non-normalized.txt.gz,Submitter-exported unnormalized array intensities; not an instrument archive and not sequencing reads.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE61754.soft.txt"":""fd4a7fb55baa713d620b48424f5167c4ba6f64069a83207ce9db1a5d9abb39f1""}",,"[""data_dictionary/sources/influenza/snapshots/GSE61754.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61754/suppl/GSE61754_non-normalized.txt.gz,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73072/suppl/GSE73072_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE73072,included_human_influenza_challenge,,FLUFILE_f4ec35bce8f297c159,tar,False,GSE73072_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE73072.soft.txt"":""3d5bf0ec45b8b1551d9e14128ea54bf5fbcc661d3d7171cd93dc078e3f764c02""}",,"[""data_dictionary/sources/influenza/snapshots/GSE73072.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73072/suppl/GSE73072_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90732/suppl/GSE90732_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE90732,included_human_influenza_challenge,,FLUFILE_cd4e587ddcccffd5e1,tar,False,GSE90732_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE90732.soft.txt"":""66c09e9ba3fcd0511faaa466f656ed73e3e91eccba16c18b3edd02119ea6c2f5""}",,"[""data_dictionary/sources/influenza/snapshots/GSE90732.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90732/suppl/GSE90732_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90732/suppl/GSE90732_non-normalized.txt.gz,direct_file_link,public,,unnormalized_feature_intensity_table,FLU:GSE90732,included_human_influenza_challenge,,FLUFILE_6c17a85849ee1144e8,txt.gz,False,GSE90732_non-normalized.txt.gz,Submitter-exported unnormalized array intensities; not an instrument archive and not sequencing reads.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE90732.soft.txt"":""66c09e9ba3fcd0511faaa466f656ed73e3e91eccba16c18b3edd02119ea6c2f5""}",,"[""data_dictionary/sources/influenza/snapshots/GSE90732.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90732/suppl/GSE90732_non-normalized.txt.gz,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118223/suppl/GSE118223_RAW.tar,direct_file_link,public,,raw_submitter_archive,FLU:GSE118223,included_human_influenza_challenge,,FLUFILE_3231f65165dad86513,tar,False,GSE118223_RAW.tar,GEO raw archive is listed; member inventory is not expanded and native instrument files versus exported feature tables are not yet distinguished.,,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE118223.soft.txt"":""75f99150fc44683ee1e0a52a9e56cb1980351c8aa7ee5955d926b346f0e7e399""}",,"[""data_dictionary/sources/influenza/snapshots/GSE118223.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118223/suppl/GSE118223_RAW.tar,listed_in_GEO_series_metadata; file bytes not downloaded
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175551/suppl/GSE175551_Raw_gene_counts_matrix.txt.gz,direct_file_link,public,,processed_counts_or_expression,FLU:GSE175551,included_human_influenza_challenge,,FLUFILE_838642ad4e45a37a45,txt.gz,False,GSE175551_Raw_gene_counts_matrix.txt.gz,"Gene counts and normalized expression are derived measurements, including files whose names contain Raw; not sequencing reads.",,,not_inspected_at_biological_file_level,,"{""data_dictionary/sources/influenza/snapshots/GSE175551.soft.txt"":""c1582c4f6b50be5611f45fb1f1b948bfb2106300381ae95235f1008fdafd7faf"",""data_dictionary/sources/influenza/snapshots/GSM5341480.soft.txt"":""3b5da66ffdc7a8aa7a7cddb20c7cb6e43cffb6393b6ec1e633f06f9ee1b926cd""}",,"[""data_dictionary/sources/influenza/snapshots/GSE175551.soft.txt"",""data_dictionary/sources/influenza/snapshots/GSM5341480.soft.txt""]",,,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175551/suppl/GSE175551_Raw_gene_counts_matrix.txt.gz,listed_in_GEO_series_metadata; file bytes not downloaded
