column_count,data_rows,distinct_subject_ids_within_table,grain,keys_observed,local_path,matrix_join_status,namespace_rule,sha256,study_ID,table_id
51,374,35,sample/observation,"{""ID"":{""distinct"":35,""duplicate_nonmissing_rows"":339,""nonmissing"":374},""X"":{""distinct"":374,""duplicate_nonmissing_rows"":0,""nonmissing"":374},""geo_accession"":{""distinct"":374,""duplicate_nonmissing_rows"":0,""nonmissing"":374},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":373,""nonmissing"":374}}",data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv
51,96,19,sample/observation,"{""ID"":{""distinct"":19,""duplicate_nonmissing_rows"":77,""nonmissing"":96},""X"":{""distinct"":96,""duplicate_nonmissing_rows"":0,""nonmissing"":96},""geo_accession"":{""distinct"":96,""duplicate_nonmissing_rows"":0,""nonmissing"":96},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":95,""nonmissing"":96}}",data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_nose_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,a93eef1c0ba1802b86e90a8ef3ffab4c7cee99d43bcdd12c2d033a7a65bea0eb,E_MTAB_12993_nose,HF:meta/E_MTAB_12993_nose_meta.csv
51,98,26,sample/observation,"{""ID"":{""distinct"":26,""duplicate_nonmissing_rows"":72,""nonmissing"":98},""X"":{""distinct"":98,""duplicate_nonmissing_rows"":0,""nonmissing"":98},""geo_accession"":{""distinct"":98,""duplicate_nonmissing_rows"":0,""nonmissing"":98},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":97,""nonmissing"":98}}",data_dictionary/sources/hr_vilage/meta/GSE101709_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,ec4b9971de6b83849a4c1d4560bdb5e76d282fedb7d85e1f5c7339e9c50c7493,GSE101709,HF:meta/GSE101709_meta.csv
51,79,20,sample/observation,"{""ID"":{""distinct"":20,""duplicate_nonmissing_rows"":59,""nonmissing"":79},""X"":{""distinct"":79,""duplicate_nonmissing_rows"":0,""nonmissing"":79},""geo_accession"":{""distinct"":79,""duplicate_nonmissing_rows"":0,""nonmissing"":79},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":78,""nonmissing"":79}}",data_dictionary/sources/hr_vilage/meta/GSE101710_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,f273f282b7f0dfb316514b11b82f5daa13c9c14546d8c75f4462809dfb8bb05e,GSE101710,HF:meta/GSE101710_meta.csv
51,384,50,sample/observation,"{""ID"":{""distinct"":50,""duplicate_nonmissing_rows"":334,""nonmissing"":384},""X"":{""distinct"":384,""duplicate_nonmissing_rows"":0,""nonmissing"":384},""geo_accession"":{""distinct"":384,""duplicate_nonmissing_rows"":0,""nonmissing"":384},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":383,""nonmissing"":384}}",data_dictionary/sources/hr_vilage/meta/GSE102012_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,a5f250fea3ff918b452625d38851c8b5a17e106889c33e5e9eaff4fb6f52668e,GSE102012,HF:meta/GSE102012_meta.csv
51,671,172,sample/observation,"{""ID"":{""distinct"":172,""duplicate_nonmissing_rows"":499,""nonmissing"":671},""X"":{""distinct"":671,""duplicate_nonmissing_rows"":0,""nonmissing"":671},""geo_accession"":{""distinct"":671,""duplicate_nonmissing_rows"":0,""nonmissing"":671},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":670,""nonmissing"":671}}",data_dictionary/sources/hr_vilage/meta/GSE107990_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,79245359ec97525c19cd30714a7f2e4cff73fa5bfae8682a542da9c95a5def0d,GSE107990,HF:meta/GSE107990_meta.csv
51,93,31,sample/observation,"{""ID"":{""distinct"":31,""duplicate_nonmissing_rows"":62,""nonmissing"":93},""X"":{""distinct"":93,""duplicate_nonmissing_rows"":0,""nonmissing"":93},""geo_accession"":{""distinct"":93,""duplicate_nonmissing_rows"":0,""nonmissing"":93},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":92,""nonmissing"":93}}",data_dictionary/sources/hr_vilage/meta/GSE11348_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,ffc86c098c93efa015b213846aefd883ec5c4720bbe64d89e2a913469b2f434b,GSE11348,HF:meta/GSE11348_meta.csv
51,96,35,sample/observation,"{""ID"":{""distinct"":35,""duplicate_nonmissing_rows"":61,""nonmissing"":96},""X"":{""distinct"":96,""duplicate_nonmissing_rows"":0,""nonmissing"":96},""geo_accession"":{""distinct"":96,""duplicate_nonmissing_rows"":0,""nonmissing"":96},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":95,""nonmissing"":96}}",data_dictionary/sources/hr_vilage/meta/GSE117580_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,3472f92333c4c32828d9f40e6150f5994dc4493a786477d3cedf45655da2350e,GSE117580,HF:meta/GSE117580_meta.csv
51,78,40,sample/observation,"{""ID"":{""distinct"":40,""duplicate_nonmissing_rows"":38,""nonmissing"":78},""X"":{""distinct"":78,""duplicate_nonmissing_rows"":0,""nonmissing"":78},""geo_accession"":{""distinct"":78,""duplicate_nonmissing_rows"":0,""nonmissing"":78},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":77,""nonmissing"":78}}",data_dictionary/sources/hr_vilage/meta/GSE155237_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,536bc7894ed63be8cc3997b902cfcc64380c3b95da6c9198a5d4bc9dcf3a2bf2,GSE155237,HF:meta/GSE155237_meta.csv
51,185,32,sample/observation,"{""ID"":{""distinct"":32,""duplicate_nonmissing_rows"":153,""nonmissing"":185},""X"":{""distinct"":185,""duplicate_nonmissing_rows"":0,""nonmissing"":185},""geo_accession"":{""distinct"":185,""duplicate_nonmissing_rows"":0,""nonmissing"":185},""study_ID"":{""distinct"":1,""duplicate_nonmissing_rows"":184,""nonmissing"":185}}",data_dictionary/sources/hr_vilage/meta/GSE169159_meta.csv,metadata keys inspected; full expression matrix rows not independently compared,Use study_ID plus local ID; ID is not a global participant identifier.,34a95dd819e24b138ff8bb422c574f9257b3c48166d05e1f8508ba995b902519,GSE169159,HF:meta/GSE169159_meta.csv
