adjudication_id,finding_id,adjudicator_role,decision,rationale,human_adjudication_status
ADJ_BIO-M001,BIO-M001,coordinating_agent,qualified_locator_correction,P_A06 cites main-text Fig5C line181; saved legend labels that response B. Critic recommendation was checked against original source and the B/C mismatch remains explicit.,pending
ADJ_BIO-M002,BIO-M002,coordinating_agent,unsigned_distribution_difference,P_A07 direction changed to association; full-text/data limitation retained.,pending
ADJ_BIO-M003,BIO-M003,coordinating_agent,unsigned_platform_cohort_discordance,P_A15 direction changed to association; no opposing signed estimates invented.,pending
ADJ_BIO-M004,BIO-M004,coordinating_agent,unsigned_reagent_discordance,P_A16 direction changed to association; original limits retained.,pending
ADJ_BIO-M005,BIO-M005,coordinating_agent,unsigned_shRNA_heterogeneity,G-A012 direction changed to association; intervention inconsistency and isoform caveat retained.,pending
ADJ_BIO-M006,BIO-M006,coordinating_agent,recovered_ancestry_context,GCO02 and G-A006 now preserve source-reported European American/Caucasian analysis restriction.,pending
ADJ_BIO-M007,BIO-M007,coordinating_agent,recovered_IL7_costimulation,GCO10 and G-A015 include IL7 5ng/mL and CD3/CD28 doses from methods.,pending
ADJ_CR-CYT-001,CR-CYT-001,coordinating_agent,corrected_and_retained_temporal_contrast,C-A11 corrected to 24h Fig7; C-A25 preserves qualitative 7h null. See research/cytokine/review_response.json. Human adjudication pending.,pending
ADJ_CR-CYT-002,CR-CYT-002,coordinating_agent,explicit_hypothesis_and_relation_with_null_adequacy_gate,Scoring annotations state tested hypotheses independently from sign. All pilot nulls are inconclusive. Inadequate absence evidence cannot update existence. Shared-hypothesis and null regression tests pass; weights remain uncalibrated.,pending
ADJ_CR-CYT-003,CR-CYT-003,coordinating_agent,downgraded_to_unspecified_protein_compartment,C-A18 now protein production with compartment unavailable and needs_full_text; no numerical priors or paths. Authors terminology retained with attribution.,pending
ADJ_CR-CYT-004,CR-CYT-004,coordinating_agent,structured_participant_subset_link,C-CO08 links to C-CO09 for known P1/P3 overlap. Distinct preparations and unresolved further reuse retained.,pending
ADJ_CUR02-001,CUR02-001,coordinating_agent,primary_outcome_passages_recovered,"The actual Chrome primary Results and Figure 4 caption were inspected and archived, supporting distinct intracellular IFNG and six-day proliferation endpoints. Independent recheck passed. Human adjudication pending.",pending
ADJ_IMPL-R001,IMPL-R001,coordinating_agent,measurement_vocabulary_and_layer_validation,Compiler checks all supported measurement/object-layer combinations and rejects unknown measurement labels. Independent response records synthetic rejection checks; reviewed pilot passes.,pending
ADJ_IMPL-R002,IMPL-R002,coordinating_agent,hypothesis_identity_and_individual_eligibility,Known hypothesis required; grouping uses canonical hypothesis/context/measurement rather than descriptive predicates; inconclusive records cannot inherit numerical priors. Compiled-database regressions pass.,pending
ADJ_IMPL-R003,IMPL-R003,coordinating_agent,fail_closed_pathway_compilation,"Null/unsupported transitions, tuple bridges, unknown/reversed time and incompatible treatment are rejected. Production compiler accepts no external bridge assertions and materializes no paths; source-backed bridge ingestion remains future work.",pending
ADJ_IMPL-R004,IMPL-R004,coordinating_agent,propagate_high_severity_challenges,High source/cohort ancestor/context findings quarantine dependent evidence; protocol/compiler findings conservatively withhold numerical outputs until disposition. Regression probes pass.,pending
ADJ_IMPL-R005,IMPL-R005,coordinating_agent,separate_related_and_reviewed_protein_coverage,Coverage reports related_assertion_count and reviewed_protein_assertion_count. Neither is represented as independent direct analyte measurement or complete cytokine coverage.,pending
ADJ_IMPL02-001,IMPL02-001,coordinating_agent,scoring_derived_from_approved_inputs,The compiler derives scoring from exact approved extraction objects; mutable scoring summaries cannot override it. Independent regression review passed. Human adjudication pending.,pending
ADJ_IMPL02-002,IMPL02-002,coordinating_agent,legacy_and_curation_dependencies_hash_bound,"Inherited packs and sources must match the verified predecessor, with the explicit security-redaction exception. Curation approval binds complete overlay and base/source dependencies. Mutation regressions passed. Human adjudication pending.",pending
ADJ_IMPL02-003,IMPL02-003,coordinating_agent,mandatory_source_linked_candidate_screening,Each expansion source requires candidate screening tied to a registered query and an eligible include or provisional decision. Missing and irrelevant screening regressions passed. Human adjudication pending.,pending
ADJ_IMPL02-004,IMPL02-004,coordinating_agent,encoded_signed_url_fields_sanitized,"Encoded question marks, separators and JSON Unicode escapes are checked and sanitized. Synthetic regression examples are isolated in a hash-bound review-fixture exception. Human adjudication pending.",pending
ADJ_REC02-001,REC02-001,coordinating_agent,binding_and_migration_denominators_separated,Radioligand-binding repeat/donor counts remain unavailable. Migration-specific triplicates and microscopic fields are scoped only to migration; all receptor assertion uncertainty fields were checked by endpoint. Independent recheck passed. Human adjudication pending.,pending
ADJ_XCH-REV001,XCH-REV001,coordinating_agent,exact_source_locator_and_dependency_repaired,The archived primary Figure 5 source is explicitly referenced and hash bound; protein localization is retained without inferring secretion. Independent recheck passed. Human adjudication pending.,pending
ADJ_XCH-REV002,XCH-REV002,coordinating_agent,known_ligand_stimulation_recorded,"Recombinant human CCL17 and CCL22 exposures are explicit in the structured stimulation fields, with source concentration-range limits retained. Independent recheck passed. Human adjudication pending.",pending
