search_id,lane,query,database,searched_at,result_source_ids,screening_notes,snapshot_path,total_hits,returned_pmids,retrieval_limit
C-Q01,cytokine/signaling and perturbation transcriptomics,"""Immune Dictionary"" cytokine Nature 2023",web search; primary publications and repositories screened,2026-09-12,"[""C-S01""]","Actual batched search response retained in research/cytokine/snapshots/search1.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q02,cytokine/signaling and perturbation transcriptomics,"""Human Cytokine Dictionary""",web search; primary publications and repositories screened,2026-09-12,"[""C-S02""]","Actual batched search response retained in research/cytokine/snapshots/search1.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q03,cytokine/signaling and perturbation transcriptomics,"""CytoSig"" cytokine signaling 2021 Nature Methods",web search; primary publications and repositories screened,2026-09-12,"[""C-S03""]","Actual batched search response retained in research/cytokine/snapshots/search1.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q04,cytokine/signaling and perturbation transcriptomics,human monocytes interleukin 10 inhibits LPS cytokine production receptor STAT3 study,web search; primary publications and repositories screened,2026-09-12,"[""C-S04"",""C-S05""]","Actual batched search response retained in research/cytokine/snapshots/search1.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q05,cytokine/signaling and perturbation transcriptomics,"""Dictionary of immune responses to cytokines"" PMC",web search; primary publications and repositories screened,2026-09-12,"[""C-S01""]","Actual batched search response retained in research/cytokine/snapshots/search2.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q06,cytokine/signaling and perturbation transcriptomics,"""Activated signal transducer"" ""poor regulator"" STAT3",web search; primary publications and repositories screened,2026-09-12,"[""C-S05""]","Actual batched search response retained in research/cytokine/snapshots/search2.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q07,cytokine/signaling and perturbation transcriptomics,human interleukin 12 receptor beta 1 deficiency interferon gamma production 1998,web search; primary publications and repositories screened,2026-09-12,"[""C-S08""]","Actual batched search response retained in research/cytokine/snapshots/search2.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q08,cytokine/signaling and perturbation transcriptomics,IL-15 trans-presentation human dendritic cells NK cells IL15R alpha study,web search; primary publications and repositories screened,2026-09-12,"[""C-S06"",""C-S07""]","Actual batched search response retained in research/cytokine/snapshots/search2.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q09,cytokine/signaling and perturbation transcriptomics,"""A single-cell cytokine dictionary of human peripheral blood"" 2026 publication journal",web search; primary publications and repositories screened,2026-09-12,"[""C-S02"",""C-S09""]","Actual batched search response retained in research/cytokine/snapshots/open2.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q10,cytokine/signaling and perturbation transcriptomics,"""Systematic investigation of cytokine signaling activity"" PMC",web search; primary publications and repositories screened,2026-09-12,"[""C-S03""]","Actual batched search response retained in research/cytokine/snapshots/open2.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q11,cytokine/signaling and perturbation transcriptomics,"""Distinct roles of IL-12 and IL-15"" Ferlazzo 2004",web search; primary publications and repositories screened,2026-09-12,"[""C-S07""]","Actual batched search response retained in research/cytokine/snapshots/open3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q12,cytokine/signaling and perturbation transcriptomics,"""Residual type 1 immunity"" 10952721 IL-12",web search; primary publications and repositories screened,2026-09-12,"[""C-S08""]","Actual batched search response retained in research/cytokine/snapshots/open3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q13,cytokine/signaling and perturbation transcriptomics,"""Activated signal transducer"" ""poor regulator"" 2007 DOI",web search; primary publications and repositories screened,2026-09-12,"[""C-S05""]","Actual batched search response retained in research/cytokine/snapshots/open3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q14,cytokine/signaling and perturbation transcriptomics,"""Interleukin 10(IL-10) inhibits cytokine synthesis"" 1991",web search; primary publications and repositories screened,2026-09-12,"[""C-S04""]","Actual batched search response retained in research/cytokine/snapshots/open3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q15,cytokine/signaling and perturbation transcriptomics,"""STAT3"" ""poor regulator"" ""Williams"" ""2007""",web search; primary publications and repositories screened,2026-09-12,"[""C-S05""]","Actual batched search response retained in research/cytokine/snapshots/search3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q16,cytokine/signaling and perturbation transcriptomics,"""Distinct roles of IL-12 and IL-15"" ""IL-12"" ""blocked""",web search; primary publications and repositories screened,2026-09-12,"[""C-S07""]","Actual batched search response retained in research/cytokine/snapshots/search3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q17,cytokine/signaling and perturbation transcriptomics,"""Residual Type 1 Immunity"" ""Stat4"" ""MAP""",web search; primary publications and repositories screened,2026-09-12,"[""C-S08""]","Actual batched search response retained in research/cytokine/snapshots/search3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q18,cytokine/signaling and perturbation transcriptomics,"""Dictionary of immune responses to cytokines"" ""Il1b"" ""Il1r1""",web search; primary publications and repositories screened,2026-09-12,"[""C-S01""]","Actual batched search response retained in research/cytokine/snapshots/search3.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q19,cytokine/signaling and perturbation transcriptomics,"site:pmc.ncbi.nlm.nih.gov/articles/PMC12776526/ ""Version""",web search; primary publications and repositories screened,2026-09-12,[],"Actual batched search response retained in research/cytokine/snapshots/search4.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q20,cytokine/signaling and perturbation transcriptomics,"site:pmc.ncbi.nlm.nih.gov/articles/PMC1810496/ ""IL-6"" ""IL-10"" ""Abstract""",web search; primary publications and repositories screened,2026-09-12,[],"Actual batched search response retained in research/cytokine/snapshots/search4.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q21,cytokine/signaling and perturbation transcriptomics,"site:pmc.ncbi.nlm.nih.gov/articles/PMC2193232/ ""Abstract""",web search; primary publications and repositories screened,2026-09-12,"[""C-S08""]","Actual batched search response retained in research/cytokine/snapshots/search4.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q22,cytokine/signaling and perturbation transcriptomics,"site:pmc.ncbi.nlm.nih.gov/articles/PMC10781646/ ""4 h"" ""IL-1β""",web search; primary publications and repositories screened,2026-09-12,"[""C-S01""]","Actual batched search response retained in research/cytokine/snapshots/search4.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
