finding_id,critic_run_id,severity,target_type,target_id,challenge,evidence,recommendation,disposition
BIO-M001,biological-review-multiomic-20260912-01,medium,assertion,P_A06,"The source locator points to Figure 5B, while the dasatinib/IL7-induced STAT5 result is in Figure 5C.","research/proteomic/snapshots/bendall_fulltext.txt, Figure 5 legend and main text around line 181: the IL7-induced T-cell STAT5 response is described with Figure 5C. Figure 5B concerns PLC-gamma-2. The null claim itself is supported, and the assertion correctly avoids a formal equivalence claim.",Change source_locator to Figure 5C legend and the corresponding main-text paragraph. Preserve the qualitative-null uncertainty.,resolved_with_source_discrepancy_retained
BIO-M002,biological-review-multiomic-20260912-01,low,assertion,P_A07,direction='mixed' is unsupported by an unsigned difference between CD8A antibody-tag distributions.,The saved CITE-seq Supplementary Figure 6b caption supports different distributions between CD56-defined NK subsets using a KS comparison. P_A07 explicitly says direction was not extracted. A distribution difference does not establish opposite signed effects.,"Use direction='association' while retaining the distribution-difference predicate, or extract an appropriate signed summary from the underlying data before assigning a directional prior.",resolved_by_agent_correction
BIO-M003,biological-review-multiomic-20260912-01,medium,assertion,P_A15,Failure of the IL6-IBD association to replicate is encoded as mixed effect direction without extracted signed estimates.,"research/proteomic/snapshots/extract2.json, Eldjarn protein-phenotype association paragraph: IL6 is among associations that did not replicate between platform/cohort groups. P_A15 uncertainty states per-assay directions and estimates are unavailable. Differences in statistical significance do not imply opposite biological effect signs.","Set direction='association'; preserve platform/cohort discordance in the predicate, limitation and contradiction group. Materialize separate signed assay/cohort records only after extracting their estimates.",resolved_by_agent_correction
BIO-M004,biological-review-multiomic-20260912-01,medium,assertion,P_A16,Reagent-dependent detection of the CXCL9-IBD association is encoded as mixed direction without opposing signed estimates.,"research/proteomic/snapshots/extract2.json, Eldjarn protein-phenotype association paragraph: one Olink and one of two SomaScan measurements associate with IBD. This establishes reagent discordance, while P_A16 states reagent identifiers and signed estimates were not extracted.",Set direction='association' and retain the reagent-discordance predicate and uncertainty. Do not distribute directional prior mass to both signs solely from significance discordance.,resolved_by_agent_correction
BIO-M005,biological-review-multiomic-20260912-01,medium,assertion,G-A012,"The sh3/sh5 heterogeneity is recorded as direction='mixed', although the extracted text reports differing consistency of increases and does not establish a decrease.","research/genomic/snapshots/G03_fulltext.txt line 270: supernatant IL7R increases in all six donors for sh3 and in only two donors for sh5; the paper explicitly retains unexplained discordance and broad antibody isoform detection. The extraction properly preserves those limitations, but its directional field could turn inconsistent detection into an opposite-sign biological prior.","Prefer separate intervention-specific records, including a sh3 increase and an unsigned sh5 heterogeneous result, or use direction='association' for this combined unsigned record. Preserve the isoform caveat and do not infer a uniform secretion effect from exon skipping.",resolved_by_agent_correction
BIO-M006,biological-review-multiomic-20260912-01,medium,cohort,GCO02,Ancestry is marked unavailable although the exact 178-person IL2RA eQTL analysis is explicitly ancestry-restricted in the inspected full text.,"research/genomic/snapshots/G02_fulltext.txt line 392, Methods: Analysis of gene regulatory effects of naturally occurring rs61839660 variant in human T cells. The authors restrict this analysis to 178 European American/Caucasian samples because of the variant frequency. G-A006 also currently has ancestry='unavailable'.","Record the author-reported European American/Caucasian analysis restriction in GCO02 and G-A006, preserving the original-label qualification and unresolved overlap with other ImmVar datasets.",resolved_by_agent_correction
BIO-M007,biological-review-multiomic-20260912-01,medium,assertion,G-A015,The surface 4-1BB follow-up omits IL7 co-stimulation from its experimental context.,"research/genomic/snapshots/G04_fulltext.txt line 227, 4-1BB surface expression studies: naive CD4 T cells received pre-coated anti-CD3 at 10 micrograms/mL, soluble anti-CD28 at 1 microgram/mL, and IL7 at 5 ng/mL. G-A015 currently lists only anti-CD3/CD28 and dose='unavailable'; GCO10 likewise omits IL7.",Add the IL7 co-stimulation and available concentrations to G-A015 and GCO10. Retain unavailable exact sampled time points unless independently extracted. Keep the G1 candidate-protein association grade and avoid inferring downstream receptor signaling.,resolved_by_agent_correction
CR-CYT-001,CR-CYT-20260912-01,high,assertion,C-A11,"The extracted timing and figure locator reverse the study's time-dependent autoregulation result. C-A11 records reduced IL10 RNA at seven hours and cites Fig6; the source reports no or minimal inhibition at seven hours, with strong inhibition at 24 hours in Fig7.",research/cytokine/snapshots/PMC2119001.txt lines 594-608: the Results describe seven-hour Northern blots in Fig6 and no/minimal inhibition of IL10 RNA at that time; the following 24-hour experiment shows strong reduction in Fig7. Fig7 caption at lines 556-568 identifies the 24-hour Northern and RT-PCR/Southern measurements. The existing pack has duration=time_point=7 hours and source_locator=Fig6 and Results: autoregulatory effects.,"Correct the decrease assertion to 24 hours and Fig7. Preserve the seven-hour no/minimal inhibitory result separately with its actual qualitative limitations, rather than merging the two times. Recompute affected context-specific priors and block the erroneous seven-hour decrease from paths until repaired.",resolved_by_agent_correction
CR-CYT-002,CR-CYT-20260912-01,high,protocol,protocol/PROTOCOL.md#prior-construction,"The null-result weighting rule lacks a distinct tested-hypothesis and evidence-polarity field. Current negative predicates such as does_not_increase_surface_protein (C-A14) and does_not_increase_secreted_protein (C-A22) are themselves assertions. Sending every null direction to beta can weaken the negative assertion that the observation was intended to support, or silently switch to an unstated positive hypothesis. In addition, an observed nonsignificant or below-threshold response is not automatically evidence of a biologically absent relationship.","The protocol states that a null contributes half-weight to beta when it tests the assertion. C-A14 combines a negative predicate and direction=null; research/cytokine/snapshots/open2.json Fig1A, source lines 159-164, reports no significant surface increase and only three independent donors. C-A22 also has a negative predicate and direction=null; research/cytokine/snapshots/PMC2193232.txt line 55 defines response using a greater-than-50-percent increase criterion. C-A22 correctly retains that threshold in its limitation, but the protocol has no operational requirement to carry it into prior eligibility. No code behavior is asserted by this finding; it concerns the specification and its compatibility with the extracted records.","Define the hypothesis being scored independently from the observed direction. Add evidence polarity (supports, refutes, uninformative) and null-evidence adequacy, including tested response threshold, precision/detection limit or equivalence assessment where available. Treat underpowered, nonsignificant and threshold-defined observations as uninformative for relationship absence unless a justified rule applies. Keep the observations searchable even when excluded from existence weighting. Document these summaries as heuristic, as the protocol already does.",resolved_by_agent_correction
CR-CYT-003,CR-CYT-20260912-01,medium,assertion,C-A18,"The source authors call the IFNG result secretion, but the available Figure4A excerpt describes analyses on gated cells and does not establish an extracellular sampling assay. Encoding a definite secreted_protein measurement while assay and time remain unavailable is more specific than the accessible methodological evidence permits.","research/cytokine/snapshots/PMC534504.xml provides the abstract terminology. In research/cytokine/snapshots/search3.json, the primary-source Figure4A excerpt says lymph-node mononuclear cells were cultured for six hours and analyses were performed on CD3-negative cells; its lower panel concerns purified blood NK cells with autologous monocyte-derived DC. Neither the excerpt nor the accessible abstract specifies a supernatant assay for the extracted blood-NK result. C-A18 currently sets predicate=decreases_secreted_protein, object_type=secreted_protein and measurement=secreted_protein, although assay=unavailable and qc_status=needs_full_text.","Keep the already appropriate needs_full_text status and withhold this record from mechanistic paths. Until methods are verified, encode IFNG protein production with compartment unavailable and retain the authors' secretion wording in the evidence summary. Upgrade to extracellular secretion only if the actual assay supports that compartment; do not infer that the result must be intracellular from the excerpt alone.",resolved_by_agent_correction
