record_id,evidence_id,target_entity_id,measurement,platform,biological_matrix,reagent,isoform,limit_of_detection,normalization,peptide_uniqueness,localization,cross_reactivity
PROT_C-A06,EV_C-A06,ENT_aac20750d95ddc6f,secreted_protein,supernatant ELISA,lung,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Transformed epithelial cells; not primary immune cells or human donors.
PROT_C-A07,EV_C-A07,ENT_8f1940684a7a953a,secreted_protein,supernatant ELISA,lung,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Transformed epithelial cells; not primary immune cells or human donors.
PROT_C-A08,EV_C-A08,ENT_b9593c04ef3c4ada,secreted_protein,cytokine-specific supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Donor count unavailable; OCR checked against abstract; exact numeric effects not transcribed.
PROT_C-A09,EV_C-A09,ENT_63481bb4a04e1735,secreted_protein,cytokine-specific supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Donor count unavailable; OCR checked against abstract; exact numeric effects not transcribed.
PROT_C-A10,EV_C-A10,ENT_b9593c04ef3c4ada,secreted_protein,cytokine-specific supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Donor count unavailable; OCR checked against abstract; exact numeric effects not transcribed.
PROT_C-A12,EV_C-A12,ENT_63481bb4a04e1735,secreted_protein,culture-supernatant TNF ELISA (BD OptEIA) with DELFIA readout; triplicate measurements,peripheral blood,unavailable,unavailable,>10 pg/mL assay sensitivity as stated by authors,unavailable,unavailable,extracellular,Approximately85% monocyte purity; incomplete transduction; M-CSF preconditioning and LPS context. Ordinary nonsignificance does not demonstrate universal STAT3 independence.
PROT_C-A13,EV_C-A13,ENT_c80734d70dcceaa3,secreted_protein,supernatant IL15 ELISA; eBioscience 88-7158-88,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A14,EV_C-A14,ENT_c80734d70dcceaa3,protein_abundance,surface flow cytometry; anti-IL15-PE,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A15,EV_C-A15,ENT_c80734d70dcceaa3,protein_abundance,surface flow cytometry; anti-IL15-PE,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A17,EV_C-A17,ENT_2a4303e030327ad6,protein_abundance,intracellular IFNG flow cytometry with GolgiPlug,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A18,EV_C-A18,ENT_2a4303e030327ad6,protein_abundance,intracellular anti-IFNG flow cytometry after fixation/permeabilization; 2 micromolar monensin; NK:DC ratio 10:1,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Full article inspected in Chrome; selected passages archived. Authors describe secretion, but the extracted endpoint is intracellular flow with monensin; no extracellular IFNG concentration inferred. Figure4A reports one of three experiments; independent donor count and blocking antibody dose unavailable."
PROT_C-A20,EV_C-A20,ENT_c80734d70dcceaa3,protein_abundance,surface IL15 flow cytometry with isotype controls; Figure5A,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,cell surface,Selected passages archived after full article inspection. Three experiments are not assumed to be independent donors. Nondetection is limited by assay sensitivity; total-cell IL15 is a distinct Western-blot endpoint.
PROT_C-A21,EV_C-A21,ENT_2a4303e030327ad6,secreted_protein,supernatant IFNG ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Expanded clones from 2 patients; not resting T cells or all IL12RB1 deficiency.
PROT_C-A22,EV_C-A22,ENT_2a4303e030327ad6,secreted_protein,supernatant IFNG ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Expanded clones from 2 patients; not resting T cells or all IL12RB1 deficiency. Study defined a response as >50% increase; null means no response by this criterion, not exact zero effect."
